Date,Tweets,Tweets Today,Followers,Change,Notes
11/7/2020,58180,,88857413,,Election Called by media
11/8/2020,58190,10,88929434,72021,
11/9/2020,58220,30,88923686,-5748,
11/10/2020,58259,39,88927605,3919,
11/11/2020,58275,16,88940697,13092,
11/12/2020,58323,48,88948558,7861,
11/13/2020,58355,32,88956787,8229,
11/14/2020,58391,36,88895369,-61418,Trump rally in DC
11/15/2020,58445,54,88943480,48111,
11/16/2020,58486,41,88956140,12660,
11/17/2020,58508,22,88958542,2402,
11/18/2020,58527,19,88942193,-16349,
11/19/2020,58554,27,88932302,-9891,
11/20/2020,58552,-2,88932876,574,
11/21/2020,58589,37,88934544,1668,
11/22/2020,58624,35,88915380,-19164,
11/23/2020,58625,1,88909401,-5979,
11/24/2020,58646,21,88896925,-12476,
11/25/2020,58710,64,88872313,-24612,
11/26/2020,58720,10,88858696,-13617,
11/27/2020,58755,35,88849071,-9625,
11/28/2020,58765,10,88841519,-7552,
11/29/2020,58781,16,88830854,-10665,
11/30/2020,58789,8,88823148,-7706,
12/1/2020,58849,60,88798820,-24328,
12/2/2020,58870,21,88787293,-11527,
12/3/2020,58897,27,88764530,-22763,
12/4/2020,58909,12,88757211,-7319,
12/5/2020,58930,21,88747766,-9445,
12/6/2020,58985,55,88725320,-22446,
